company,segment,emotion_score,emotional_entry_count,average_sentiment_score,sentiment_entry_count,percentage_difference,starting_time
apple,output000,-1.0,1.0,0.3607621259159512,9.0,0.1311013463253932,13:03:30
apple,output001,-1.0,2.0,0.4336771910840815,11.0,-0.161171772814871,13:04:30
apple,output002,1.0,2.0,0.7082044226782662,14.0,-0.0536401965645088,13:05:30
apple,output003,0.0,2.0,0.3225893974304199,9.0,0.158785398082895,13:06:30
apple,output004,0.25,4.0,-0.0412317663431167,8.0,0.0063037607493699,13:07:30
apple,output005,0.25,4.0,-0.3697037961747911,9.0,0.110447053766106,13:08:30
apple,output006,-1.0,2.0,-0.3026791453361511,10.0,-0.0922329119081225,13:09:30
apple,output007,-0.8260869565217391,23.0,0.6758538301174457,13.0,0.0595695547230432,13:10:30
apple,output008,-0.7966101694915254,59.0,0.5490427679485745,9.0,0.1509248821639704,13:11:30
apple,output009,-0.8333333333333334,60.0,-0.1300499183791024,7.0,-0.0235421549603557,13:12:30
apple,output010,-0.8983050847457628,59.0,0.0131636783480644,8.0,-0.1139071607023413,13:13:30
apple,output011,-0.8448275862068966,58.0,0.3444646000862121,12.0,0.0974113982105048,13:14:30
apple,output012,-0.6,10.0,0.6368466019630432,11.0,-0.0013160135586265,13:15:30
apple,output013,1.0,1.0,0.7033608555793762,6.0,0.0296580057516092,13:16:30
apple,output014,,,-0.5004756185743544,9.0,0.0822483860099493,13:17:30
apple,output015,,,-0.4009175981794085,7.0,-0.0178528225653997,13:18:30
apple,output016,,,0.6498314340909322,6.0,0.0191672717535051,13:19:30
apple,output017,,,0.2042042698178972,7.0,0.169955368879928,13:20:30
apple,output018,-0.6486486486486487,37.0,0.2486613425943586,18.0,0.1700461401830191,13:21:30
apple,output019,-0.8363636363636363,55.0,-0.3970422953367233,20.0,-0.1931409447922359,13:22:30
apple,output020,-0.6875,32.0,-0.4895648688077926,20.0,0.0363791413954425,13:23:30
apple,output021,-0.8048780487804879,41.0,0.0374434566497803,25.0,-0.0909913741747604,13:24:30
apple,output022,-0.6,35.0,0.3382714688777923,12.0,-0.1308831175592306,13:25:30
apple,output023,-0.8620689655172413,29.0,0.4941577768325805,25.0,-0.1433919356497453,13:26:30
apple,output024,-1.0,2.0,0.9821470181147256,3.0,-0.1452914928636753,13:27:30
apple,output025,-1.0,1.0,0.9845392141077254,18.0,-0.0331834501823627,13:28:30
apple,output026,-1.0,3.0,0.4928669780492782,16.0,-0.0954214395458483,13:29:30
apple,output027,-1.0,2.0,0.0867654760678609,15.0,-0.1405512008640702,13:30:30
apple,output028,-0.3333333333333333,3.0,0.03346316019694,12.0,0.1798244629891196,13:31:30
apple,output029,-0.4,5.0,0.4978379756212234,8.0,0.0140837510317497,13:32:30
apple,output030,-1.0,4.0,0.0002619266510009,10.0,-0.0313897221407631,13:33:30
apple,output031,,,0.538206105430921,12.0,0.0329251823071097,13:34:30
apple,output032,0.0,3.0,0.632562130689621,12.0,0.0996021813291937,13:35:30
apple,output033,,,0.3130747675895691,14.0,0.1361470158944657,13:36:30
apple,output034,,,0.8325101772944132,15.0,0.0182533732282653,13:37:30
apple,output035,,,0.6372692883014679,10.0,-0.2494652994202576,13:38:30
apple,output036,,,0.3380907045470342,9.0,0.2141097217558099,13:39:30
apple,output037,,,0.5935009121894836,10.0,0.2689772374832549,13:40:30
apple,output038,-0.9722222222222222,36.0,0.8438111597841437,11.0,-0.060438715942903,13:41:30
apple,output039,-0.9661016949152542,59.0,0.5340346693992615,12.0,-0.0231386998833777,13:42:30
apple,output040,-0.8666666666666667,60.0,-0.0938460393385453,11.0,0.1637486231427881,13:43:30
apple,output041,-0.8,60.0,-0.0604588389396667,9.0,-0.0182984692764232,13:44:30
apple,output042,-0.6379310344827587,58.0,0.3684628208478291,12.0,-0.4080571003317961,13:45:30
apple,output043,-0.5161290322580645,31.0,0.864213090389967,16.0,0.0105377885503964,13:46:30
apple,output044,-0.3636363636363636,11.0,0.8025359710057577,12.0,-0.0122349869147757,13:47:30
apple,output045,-0.2352941176470588,17.0,0.0612152324003331,17.0,0.0224294411507915,13:48:30
apple,output046,-0.2608695652173913,23.0,0.37966022392114,12.0,0.0783178074744362,13:49:30
apple,output047,-0.4705882352941176,17.0,0.0426239550113678,10.0,-0.1670578646428225,13:50:30
apple,output048,0.6666666666666666,9.0,0.190736699104309,15.0,-0.1394610764546746,13:51:30
apple,output049,-1.0,1.0,0.0412351018504092,19.0,0.2547742948621295,13:52:30
apple,output050,-0.6666666666666666,3.0,0.24911144706938,9.0,-0.260438277689421,13:53:30
apple,output051,0.0,1.0,-0.0723358869552612,15.0,-0.1899737337115965,13:54:30
apple,output052,-1.0,1.0,-0.142006825317036,11.0,-0.2856741920972594,13:55:30
apple,output053,0.0,2.0,-0.1204228767981896,13.0,0.167452460544632,13:56:30
apple,output054,1.0,1.0,-0.1955641627311706,10.0,0.0553356054582788,13:57:30
apple,output055,-0.9310344827586208,29.0,-0.0011217944762285,17.0,-0.3990248296762046,13:58:30
apple,output056,-0.9152542372881356,59.0,-0.1977760672569274,5.0,0.2632642457613262,13:59:30
apple,output057,-0.5454545454545454,22.0,0.6985847904131963,13.0,-0.2582699784423728,14:00:30
apple,output058,-0.6176470588235294,34.0,-0.4400551468133926,8.0,-0.0998290994714054,14:01:30
apple,output059,-0.5384615384615384,26.0,-0.2542935609817505,8.0,0.0958937680750406,14:02:30
apple,output060,-0.6521739130434783,23.0,-0.7622118261125352,9.0,0.0836010186688968,14:03:30
apple,output061,,,0.214099648323926,22.0,-0.1246667960062952,14:04:30
apple,output062,-0.3333333333333333,12.0,0.4044369714600699,7.0,-0.0142852857276467,14:05:30
apple,output063,,,0.2834498286247253,11.0,0.1804383206190435,14:06:30
apple,output064,0.0,2.0,0.1441109830682927,11.0,-0.0986598615256043,14:07:30
apple,output065,-0.6666666666666666,3.0,0.2042106166481971,8.0,-0.6446970605372795,14:08:30
apple,output066,1.0,2.0,0.4832469336688518,16.0,0.0058919282156363,14:09:30
apple,output067,-1.0,2.0,0.3874470907099106,17.0,0.1257389895078919,14:10:30
apple,output068,-1.0,14.0,0.3301092306772867,15.0,0.1510887210541063,14:11:30
apple,output069,-1.0,17.0,0.5143476843833923,5.0,0.1957684313033267,14:12:30
apple,output070,-1.0,23.0,-0.1844235837459564,10.0,-0.1629686527067477,14:13:30
apple,output071,-0.9333333333333332,30.0,-0.7345093356238471,9.0,0.0297415003538142,14:14:30
apple,output072,-1.0,5.0,0.6251895427703857,11.0,0.1417757321818216,14:15:30
apple,output073,-1.0,1.0,0.4030471444129944,13.0,-0.026705786217441,14:16:30
apple,output074,-0.7692307692307693,13.0,-0.4721540317815892,17.0,-0.0691546694290403,14:17:30
apple,output075,-0.84,25.0,0.2932351529598236,12.0,0.0787229772578282,14:18:30
apple,output076,-0.9473684210526316,19.0,-0.5320551130506728,9.0,0.2878293292464106,14:19:30
apple,output077,-0.8823529411764706,17.0,-0.2972852811217308,8.0,0.0587714638208375,14:20:30
apple,output078,-0.9210526315789472,38.0,-0.4695408493280411,8.0,0.2369707669073711,14:21:30
apple,output079,-1.0,7.0,0.1375979114981259,17.0,0.0205658209234786,14:22:30
apple,output080,,,0.698849937745503,14.0,-0.1514762940493932,14:23:30
apple,output081,-1.0,1.0,0.2006463578769139,7.0,0.2598275530268317,14:24:30
apple,output082,-0.6666666666666666,3.0,0.0941609252582897,11.0,-0.2930783712477554,14:25:30
apple,output083,-0.8,5.0,0.0849439068274064,11.0,0.2488720025405282,14:26:30
apple,output084,-1.0,4.0,0.181922186166048,16.0,0.0955729379094283,14:27:30
apple,output085,,,-0.920907974243164,1.0,-0.0437805836404453,14:28:30
apple,output086,1.0,1.0,0.0400792732834816,8.0,-0.2219181907693648,14:29:30
apple,output087,0.3333333333333333,3.0,0.3152936200300852,6.0,-0.3019316279607181,14:30:30
apple,output088,0.125,8.0,0.9885433912277222,1.0,-0.0734455094104813,14:31:30
apple,output089,0.5,4.0,-0.1737373352050781,15.0,-0.0499697729198208,14:32:30
